packet_rate,byte_entropy,protocol_tcp_ratio,dns_query_freq,unique_dest_ips,avg_connection_duration,port_entropy,bandwidth_mbps,new_ext_conns,tcp_flag_anomaly
126.97,4.462,0.861,5.273,4,2.574,1.127,2.441,0,0.022
122.317,4.482,0.883,4.982,4,2.597,1.12,2.348,0,0.024
119.783,4.182,0.851,5.07,4,2.537,1.137,2.26,0,0.024
122.429,4.319,0.882,4.866,3,2.57,1.161,2.366,1,0.014
121.165,4.28,0.842,5.121,4,2.504,1.11,2.5,0,0.009
117.323,4.174,0.872,5.102,3,2.468,1.171,2.269,0,0.02
120.636,4.258,0.839,4.722,3,2.476,1.06,2.447,0,0.016
117.085,4.232,0.837,4.647,3,2.402,1.1,2.151,0,0.017
122.796,4.106,0.823,4.783,3,2.423,1.095,2.376,1,0.013
124.811,4.32,0.833,4.365,3,2.438,1.026,2.287,0,0.013
117.861,4.221,0.825,4.936,3,2.388,1.075,2.324,0,0.004
117.146,3.997,0.828,5.278,3,2.358,1.034,2.382,0,0.021
117.682,4.099,0.819,4.61,2,2.333,1.061,2.226,0,0.016
114.799,4.147,0.809,4.746,2,2.43,1.059,2.289,1,0.024
113.699,4.132,0.799,4.9,3,2.31,1.085,2.152,0,0.015
116.665,4.161,0.804,4.42,3,2.409,1.043,2.155,0,0.0
111.188,3.941,0.815,4.597,3,2.352,1.015,2.214,0,0.015
110.828,4.113,0.809,4.887,3,2.328,1.06,2.25,0,0.015
111.621,4.099,0.836,4.561,3,2.344,1.064,2.257,0,0.0
111.035,3.959,0.808,4.585,3,2.389,1.089,1.904,0,0.019
112.977,4.011,0.793,4.535,3,2.406,1.048,2.119,0,0.015
114.793,4.051,0.803,4.808,3,2.398,1.074,2.085,0,0.011
116.64,4.119,0.809,5.007,3,2.339,1.035,2.201,0,0.018
111.614,4.118,0.826,4.665,2,2.404,1.077,2.204,0,0.019
118.675,3.925,0.822,4.723,3,2.401,1.024,2.26,1,0.018
111.547,3.947,0.804,4.378,4,2.377,1.034,2.096,0,0.015
110.746,4.233,0.814,4.649,3,2.46,1.093,2.193,0,0.018
116.971,4.142,0.815,4.558,3,2.358,1.099,2.26,0,0.015
114.3,4.132,0.842,4.539,2,2.436,1.069,2.285,0,0.016
119.037,4.096,0.836,4.711,3,2.461,1.092,2.07,0,0.019
120.559,4.137,0.838,4.602,4,2.469,1.105,2.364,0,0.021
116.85,4.272,0.846,5.273,3,2.44,1.107,2.445,0,0.013
118.258,4.202,0.873,5.21,4,2.492,1.085,2.447,1,0.021
119.3,4.351,0.851,5.209,3,2.453,1.118,2.372,1,0.016
120.204,4.205,0.839,4.638,3,2.459,1.138,2.504,0,0.028
121.597,4.409,0.864,5.319,3,2.553,1.108,2.351,0,0.019
121.395,4.404,0.881,4.795,3,2.57,1.109,2.421,0,0.027
121.611,4.367,0.891,5.12,4,2.511,1.12,2.243,0,0.025
123.764,4.468,0.87,4.974,3,2.596,1.147,2.406,0,0.018
123.666,4.525,0.88,5.255,4,2.59,1.162,2.355,1,0.005
120.805,4.363,0.911,5.322,3,2.543,1.16,2.445,0,0.01
121.49,4.483,0.899,5.28,3,2.535,1.158,2.333,0,0.022
123.365,4.406,0.911,5.369,3,2.493,1.16,2.523,0,0.015
123.942,4.468,0.913,5.027,3,2.592,1.172,2.296,0,0.016
125.669,4.558,0.919,4.921,4,2.664,1.163,2.624,0,0.027
124.853,4.462,0.923,5.85,4,2.686,1.162,2.336,0,0.028
121.143,4.5,0.887,5.374,4,2.6,1.166,2.627,0,0.012
123.047,4.389,0.921,5.18,4,2.695,1.162,2.431,0,0.02
128.139,4.422,0.923,5.154,2,2.633,1.188,2.717,0,0.011
134.006,4.564,0.91,5.109,3,2.724,1.172,2.433,0,0.028
125.448,4.599,0.916,5.419,3,2.688,1.215,2.485,0,0.011
127.779,4.525,0.91,5.36,3,2.691,1.183,2.48,0,0.025
127.153,4.473,0.924,5.246,3,2.586,1.176,2.371,0,0.022
126.819,4.609,0.912,5.242,3,2.626,1.188,2.481,0,0.024
126.674,4.481,0.888,5.427,3,2.643,1.16,2.382,0,0.02
125.56,4.491,0.897,5.386,3,2.599,1.183,2.55,0,0.018
124.877,4.395,0.908,4.779,3,2.607,1.181,2.455,0,0.01
122.663,4.475,0.896,5.216,3,2.602,1.18,2.326,0,0.028
126.107,4.41,0.899,5.06,3,2.665,1.195,2.248,0,0.03
122.022,4.443,0.905,5.095,3,2.583,1.101,2.458,0,0.024
129.635,4.452,0.878,5.29,3,2.615,1.106,2.281,0,0.022
122.298,4.324,0.868,5.018,3,2.543,1.121,2.544,0,0.013
119.795,4.441,0.877,5.193,4,2.61,1.098,2.299,0,0.021
119.694,4.269,0.857,5.256,3,2.503,1.148,2.252,0,0.034
118.975,4.252,0.852,5.028,4,2.542,1.125,2.32,0,0.02
124.146,4.35,0.854,5.218,3,2.492,1.077,2.301,0,0.017
121.049,4.387,0.866,4.925,3,2.451,1.076,2.324,0,0.019
118.511,4.227,0.843,4.79,4,2.509,1.07,2.209,0,0.018
121.152,4.268,0.853,5.194,4,2.48,1.095,2.28,0,0.017
122.184,4.123,0.828,5.149,3,2.414,1.114,2.347,0,0.014
117.454,4.172,0.84,5.154,4,2.429,1.089,2.143,0,0.021
114.086,4.061,0.826,4.569,3,2.422,1.046,2.261,0,0.024
117.947,4.091,0.819,4.742,3,2.499,1.095,2.416,1,0.008
113.669,4.052,0.834,5.215,3,2.39,1.071,2.183,0,0.013
116.666,4.0,0.83,4.818,3,2.446,1.039,2.14,0,0.011
111.253,4.05,0.816,4.488,3,2.397,1.082,2.01,1,0.022
109.875,3.935,0.817,4.672,3,2.404,1.04,2.233,0,0.022
118.591,4.174,0.813,4.707,4,2.39,1.057,2.094,0,0.012
111.531,3.934,0.803,4.773,2,2.322,1.044,2.074,0,0.012
108.526,4.084,0.797,4.938,3,2.308,1.046,2.158,0,0.015
112.208,4.093,0.822,4.498,3,2.383,1.073,1.947,0,0.016
117.878,4.009,0.801,4.774,4,2.364,0.993,2.286,0,0.011
109.635,3.906,0.797,4.538,3,2.364,1.041,2.056,0,0.023
116.523,4.069,0.821,4.994,4,2.445,1.044,2.192,1,0.026
118.726,3.888,0.814,4.026,3,2.382,1.055,2.213,1,0.015
117.543,4.129,0.823,4.924,3,2.341,1.074,2.313,0,0.022
117.596,4.003,0.821,4.729,3,2.412,1.043,2.198,0,0.019
116.317,4.296,0.82,4.916,3,2.43,1.094,2.387,0,0.016
119.857,4.135,0.842,4.651,4,2.466,1.083,2.181,0,0.018
117.353,4.157,0.833,4.954,4,2.348,1.047,2.113,0,0.007
118.935,4.197,0.837,4.775,3,2.456,1.092,2.214,0,0.009
121.826,3.974,0.838,4.681,3,2.4,1.133,2.14,1,0.02
118.728,4.274,0.877,5.209,2,2.53,1.103,2.146,0,0.011
119.946,4.285,0.848,5.182,3,2.502,1.092,2.316,1,0.019
116.716,4.285,0.852,5.066,3,2.514,1.114,2.291,0,0.024
118.935,4.316,0.867,5.389,4,2.494,1.121,2.203,0,0.018
123.607,4.422,0.868,4.802,3,2.534,1.136,2.397,0,0.022
125.006,4.338,0.889,5.035,3,2.637,1.141,2.268,1,0.024
126.643,4.414,0.886,5.128,3,2.637,1.131,2.355,0,0.03
126.491,4.394,0.886,5.333,4,2.516,1.166,2.397,0,0.016
126.853,4.583,0.893,5.37,3,2.62,1.17,2.272,0,0.023
119.43,4.437,0.903,4.862,3,2.613,1.177,2.306,0,0.021
129.245,4.576,0.903,5.401,3,2.564,1.138,2.417,0,0.008
124.957,4.399,0.884,5.656,3,2.702,1.193,2.365,0,0.031
125.1,4.428,0.914,5.355,3,2.626,1.173,2.48,0,0.017
125.637,4.576,0.912,5.597,3,2.643,1.146,2.641,0,0.02
124.184,4.565,0.919,4.96,3,2.578,1.208,2.436,0,0.015
131.298,4.662,0.927,5.171,3,2.728,1.16,2.452,0,0.012
131.086,4.599,0.918,5.499,4,2.725,1.178,2.453,0,0.026
125.721,4.435,0.909,5.369,4,2.704,1.162,2.405,0,0.012
126.954,4.586,0.913,4.98,3,2.715,1.155,2.57,0,0.017
124.05,4.562,0.901,5.315,3,2.626,1.172,2.455,0,0.018
124.984,4.397,0.906,5.282,3,2.565,1.193,2.558,0,0.021
122.768,4.539,0.897,5.856,3,2.676,1.137,2.351,0,0.023
128.092,4.54,0.883,5.591,3,2.71,1.213,2.561,0,0.011
134.066,4.519,0.915,5.102,3,2.581,1.16,2.466,0,0.027
126.996,4.504,0.9,5.762,3,2.673,1.116,2.36,0,0.018
134.396,4.668,0.877,5.009,3,2.686,1.183,2.48,0,0.014
115.94,4.326,0.897,5.426,3,2.603,1.189,2.451,0,0.022
125.406,4.429,0.88,5.112,3,2.562,1.176,2.518,0,0.031
128.037,4.51,0.887,5.139,4,2.542,1.125,2.314,0,0.021
125.604,4.356,0.856,5.23,4,2.558,1.13,2.455,1,0.018
117.182,4.304,0.87,4.697,4,2.508,1.138,2.401,0,0.028
119.128,4.269,0.87,5.291,3,2.484,1.135,2.43,1,0.017
120.803,4.25,0.843,5.078,4,2.466,1.096,2.223,1,0.014
121.199,4.2,0.857,4.88,2,2.498,1.117,2.11,0,0.015
115.246,4.221,0.827,5.056,4,2.424,1.097,2.475,0,0.015
115.043,4.228,0.843,5.116,2,2.51,1.082,2.376,0,0.01
115.418,4.115,0.835,5.09,4,2.457,1.072,2.244,0,0.024
115.512,4.155,0.826,4.957,4,2.31,1.085,2.22,0,0.019
115.612,4.171,0.814,5.388,3,2.407,1.108,2.338,0,0.024
108.802,4.252,0.822,4.925,3,2.379,1.075,2.338,0,0.02
109.731,4.01,0.809,4.922,5,2.409,1.059,2.238,0,0.021
110.698,4.165,0.819,5.008,2,2.321,1.072,2.041,0,0.019
114.345,4.099,0.819,4.903,3,2.379,1.122,2.351,0,0.019
111.261,4.076,0.811,5.007,3,2.271,1.038,2.296,1,0.023
110.202,4.032,0.8,4.727,3,2.296,1.059,2.237,0,0.019
119.464,4.051,0.806,4.968,2,2.395,1.029,2.124,0,0.027
110.621,4.112,0.814,4.428,3,2.325,1.012,2.124,0,0.02
110.624,4.153,0.812,4.586,3,2.369,0.999,1.974,0,0.021
113.524,4.039,0.807,4.242,3,2.284,1.065,2.209,0,0.019
114.093,4.06,0.815,4.623,2,2.377,1.08,2.321,0,0.021
111.893,4.079,0.805,4.805,4,2.4,1.083,2.132,0,0.017
115.294,4.042,0.826,4.652,4,2.414,1.025,2.284,0,0.023
112.2,4.095,0.823,4.144,2,2.385,1.051,2.338,0,0.009
115.33,4.027,0.816,4.694,3,2.327,1.032,1.996,1,0.011
112.061,4.012,0.815,4.73,3,2.406,1.07,2.181,0,0.025
115.235,4.145,0.802,4.979,3,2.465,1.004,2.258,0,0.018
113.887,4.158,0.839,4.889,3,2.412,1.063,2.27,0,0.005
120.721,4.026,0.833,4.593,3,2.392,1.077,2.186,0,0.019
121.292,4.214,0.841,4.679,3,2.466,1.069,2.386,0,0.019
116.219,4.173,0.847,5.048,3,2.418,1.073,2.299,0,0.024
119.479,4.24,0.841,5.18,3,2.558,1.106,2.154,0,0.014
117.581,4.244,0.853,5.076,3,2.512,1.087,2.183,0,0.02
122.68,4.43,0.844,5.065,3,2.49,1.114,2.317,0,0.014
121.942,4.399,0.885,4.953,3,2.512,1.098,2.47,0,0.018
117.224,4.316,0.873,5.472,3,2.555,1.077,2.242,0,0.015
123.52,4.418,0.857,5.265,3,2.633,1.138,2.403,0,0.018
122.87,4.34,0.89,5.232,4,2.566,1.153,2.319,1,0.014
122.134,4.493,0.901,5.008,3,2.522,1.121,2.329,0,0.024
127.554,4.393,0.897,5.432,4,2.589,1.133,2.507,1,0.015
130.862,4.595,0.892,4.876,3,2.593,1.167,2.257,1,0.032
123.003,4.335,0.897,5.37,4,2.65,1.155,2.235,0,0.023
124.767,4.518,0.904,5.231,3,2.643,1.132,2.608,0,0.021
123.852,4.541,0.902,5.432,3,2.567,1.162,2.426,0,0.014
121.227,4.533,0.903,5.323,4,2.651,1.18,2.538,0,0.015
129.508,4.613,0.874,5.293,3,2.626,1.202,2.418,0,0.015
125.658,4.597,0.902,5.3,3,2.616,1.192,2.543,0,0.011
135.047,4.494,0.901,5.465,3,2.641,1.197,2.589,0,0.027
126.635,4.527,0.912,5.272,4,2.669,1.159,2.502,0,0.015
126.609,4.623,0.915,5.643,4,2.655,1.163,2.397,0,0.024
131.898,4.438,0.922,5.592,4,2.662,1.175,2.316,0,0.012
123.579,4.463,0.891,5.309,4,2.683,1.172,2.591,0,0.01
125.641,4.427,0.896,5.365,3,2.708,1.219,2.517,0,0.018
126.135,4.557,0.896,5.446,3,2.683,1.2,2.653,0,0.01
120.488,4.475,0.885,4.902,3,2.587,1.181,2.667,0,0.02
120.371,4.496,0.89,5.013,3,2.689,1.123,2.319,0,0.02
125.725,4.471,0.884,5.434,3,2.546,1.193,2.403,0,0.01
120.502,4.398,0.883,5.469,3,2.604,1.127,2.485,0,0.015
130.599,4.416,0.9,4.889,3,2.588,1.148,2.38,0,0.0
121.177,4.325,0.879,5.38,4,2.593,1.162,2.472,0,0.022
121.457,4.346,0.881,5.575,4,2.625,1.102,2.421,0,0.021
117.272,4.203,0.846,5.026,4,2.55,1.098,2.415,0,0.019
119.441,4.219,0.86,5.26,3,2.578,1.094,2.478,0,0.019
124.065,4.284,0.864,5.215,3,2.546,1.142,2.409,0,0.033
119.361,4.299,0.847,4.518,3,2.498,1.118,2.342,0,0.024
121.845,4.244,0.852,4.955,3,2.542,1.07,2.317,0,0.005
120.362,4.19,0.848,4.897,3,2.474,1.095,2.419,0,0.008
120.788,4.255,0.85,5.062,3,2.473,1.077,2.608,0,0.011
115.593,4.281,0.829,4.339,4,2.451,1.068,2.361,0,0.011
119.02,4.106,0.838,4.895,3,2.428,1.027,2.345,0,0.023
115.797,4.236,0.823,4.379,3,2.433,1.06,2.21,1,0.017
118.212,4.117,0.806,4.621,3,2.413,1.045,2.097,0,0.014
111.646,4.043,0.842,4.89,3,2.389,1.095,2.31,0,0.009
108.669,4.047,0.815,4.421,2,2.379,1.004,2.045,0,0.021
114.657,4.139,0.833,5.004,3,2.466,1.091,2.327,0,0.02
106.827,4.026,0.782,4.682,3,2.369,1.087,2.221,0,0.015
114.903,4.043,0.825,5.157,3,2.317,1.061,2.364,0,0.019
116.093,4.145,0.779,5.132,3,2.383,1.034,2.241,0,0.008
115.458,4.047,0.828,4.931,3,2.364,1.061,2.231,0,0.013
109.227,3.998,0.793,4.588,3,2.293,1.019,2.296,0,0.017
109.385,3.965,0.808,5.164,3,2.293,1.058,2.318,0,0.01
113.256,4.219,0.801,4.865,3,2.315,1.04,2.334,0,0.012
112.249,3.994,0.79,4.941,4,2.44,1.042,2.371,0,0.015
114.074,4.047,0.82,5.243,3,2.331,1.076,2.242,0,0.011
111.923,4.044,0.824,5.067,3,2.398,1.043,2.354,1,0.016
112.686,4.27,0.835,4.641,2,2.389,1.092,2.195,0,0.015
117.603,4.237,0.812,4.808,3,2.386,1.042,2.353,0,0.022
120.916,4.121,0.838,4.806,3,2.439,1.071,2.113,1,0.019
113.201,4.0,0.836,5.084,4,2.487,1.072,2.359,0,0.019
120.356,4.148,0.839,4.983,3,2.517,1.062,2.447,0,0.014
115.743,4.215,0.84,5.102,3,2.562,1.102,2.289,0,0.022
118.314,4.16,0.842,5.06,4,2.503,1.098,2.391,0,0.02
124.126,4.361,0.873,4.962,3,2.455,1.128,2.299,0,0.015
121.2,4.128,0.845,5.315,3,2.512,1.077,2.531,0,0.023
117.657,4.373,0.881,5.034,3,2.509,1.135,2.348,0,0.01
116.67,4.427,0.892,5.348,4,2.522,1.127,2.428,0,0.029
118.442,4.335,0.874,5.005,4,2.474,1.161,2.5,0,0.027
130.69,4.419,0.892,5.296,4,2.553,1.125,2.483,0,0.025
126.522,4.395,0.892,5.253,3,2.638,1.149,2.456,0,0.023
120.163,4.423,0.912,5.685,3,2.549,1.163,2.401,0,0.011
128.787,4.595,0.879,5.105,3,2.647,1.114,2.478,0,0.015
128.024,4.342,0.884,5.125,4,2.612,1.145,2.518,0,0.016
125.355,4.537,0.936,5.074,4,2.63,1.163,2.641,0,0.024
125.33,4.461,0.911,5.285,3,2.675,1.145,2.407,0,0.019
129.214,4.473,0.918,5.201,4,2.687,1.187,2.659,0,0.016
132.294,4.577,0.926,5.419,4,2.622,1.15,2.348,0,0.008
122.057,4.447,0.916,5.496,3,2.698,1.188,2.635,0,0.016
128.414,4.55,0.92,5.448,3,2.697,1.183,2.587,0,0.019
130.738,4.639,0.929,5.551,3,2.676,1.186,2.319,0,0.029
127.628,4.341,0.913,5.439,3,2.764,1.208,2.595,0,0.023
130.33,4.596,0.905,5.44,4,2.677,1.157,2.533,0,0.021
128.096,4.439,0.922,5.561,3,2.655,1.159,2.451,0,0.023
133.352,4.547,0.896,5.396,2,2.729,1.182,2.54,0,0.015
126.352,4.465,0.901,5.426,3,2.715,1.147,2.571,0,0.012
127.404,4.521,0.901,5.307,3,2.652,1.156,2.472,0,0.011
123.827,4.436,0.89,4.975,3,2.63,1.16,2.285,0,0.023
125.227,4.39,0.886,5.725,4,2.632,1.136,2.581,0,0.029
122.595,4.482,0.889,5.417,3,2.638,1.143,2.338,0,0.02
117.146,4.42,0.888,5.256,4,2.558,1.145,2.238,0,0.015
122.656,4.384,0.89,5.356,4,2.564,1.15,2.33,0,0.021
120.787,4.124,0.869,5.762,3,2.529,1.135,2.513,0,0.017
117.606,4.324,0.857,5.206,4,2.586,1.112,2.273,0,0.021
122.653,4.382,0.87,4.804,2,2.573,1.1,2.568,0,0.011
117.159,4.314,0.869,4.926,3,2.453,1.1,2.217,0,0.014
120.271,4.533,0.839,4.976,3,2.496,1.137,2.223,0,0.013
121.131,4.252,0.853,4.853,2,2.43,1.114,2.29,0,0.01
119.844,4.291,0.818,5.037,4,2.43,1.114,2.309,0,0.015
114.714,4.155,0.835,4.793,3,2.495,1.071,2.161,0,0.02
109.489,4.203,0.844,5.207,3,2.399,1.082,2.293,1,0.018
114.527,4.038,0.828,4.897,4,2.426,1.104,2.4,0,0.01
113.298,4.103,0.817,5.021,3,2.461,1.074,2.208,0,0.012
115.231,4.043,0.836,4.203,3,2.436,1.061,2.282,0,0.025
119.491,4.086,0.839,4.662,3,2.407,1.029,2.271,0,0.022
111.099,3.933,0.801,4.802,3,2.394,1.037,2.313,0,0.016
116.623,4.046,0.791,4.952,3,2.356,1.081,2.153,0,0.018
121.426,3.909,0.814,4.853,3,2.349,1.034,2.366,0,0.019
112.911,4.072,0.794,4.634,3,2.367,1.072,2.267,0,0.017
116.901,3.99,0.808,4.405,3,2.397,1.044,2.009,0,0.015
109.346,4.062,0.806,4.757,3,2.333,1.07,2.179,0,0.025
114.128,4.006,0.808,4.807,2,2.389,1.045,2.069,0,0.022
109.088,4.209,0.798,4.809,2,2.359,1.034,2.263,0,0.015
119.961,4.107,0.803,4.848,2,2.341,1.076,2.153,0,0.01
115.9,4.065,0.813,4.995,4,2.405,1.01,2.259,0,0.01
108.673,4.035,0.812,4.769,3,2.384,1.06,2.191,0,0.013
109.18,4.08,0.829,5.439,2,2.364,1.036,2.258,0,0.018
117.689,4.039,0.821,5.204,3,2.326,1.109,2.166,0,0.014
113.712,4.063,0.833,4.661,3,2.383,1.066,2.034,0,0.013
118.011,4.247,0.834,4.997,3,2.391,1.028,2.241,0,0.003
117.24,4.28,0.839,5.173,3,2.389,1.079,2.237,0,0.023
117.593,4.135,0.842,4.891,3,2.516,1.07,2.159,1,0.032
115.868,4.14,0.83,4.955,3,2.451,1.11,2.214,0,0.01
122.874,4.322,0.866,4.79,4,2.49,1.114,2.38,0,0.017
114.467,4.222,0.853,4.749,3,2.548,1.093,2.229,0,0.019
